[DEBUG] 2014-09-05 17:26:21,477 ==> Logging Provider: org.jboss.logging.Log4jLoggerProvider
    [DEBUG] 2014-09-05 17:26:22,228 ==> Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@17b1c02
    [DEBUG] 2014-09-05 17:26:22,268 ==> Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@d1c9b5
    [DEBUG] 2014-09-05 17:26:22,268 ==> Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@d1c9b5
    [DEBUG] 2014-09-05 17:26:22,318 ==> Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1e55d39
    [DEBUG] 2014-09-05 17:26:22,318 ==> Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1e55d39
    [DEBUG] 2014-09-05 17:26:22,328 ==> Adding type registration string -> org.hibernate.type.StringType@176b9ea
    [DEBUG] 2014-09-05 17:26:22,328 ==> Adding type registration java.lang.String -> org.hibernate.type.StringType@176b9ea
    [DEBUG] 2014-09-05 17:26:22,328 ==> Adding type registration url -> org.hibernate.type.UrlType@1172fb9
    [DEBUG] 2014-09-05 17:26:22,328 ==> Adding type registration java.net.URL -> org.hibernate.type.UrlType@1172fb9
    [DEBUG] 2014-09-05 17:26:22,479 ==> Adding type registration date -> org.hibernate.type.DateType@1795327
    [DEBUG] 2014-09-05 17:26:22,489 ==> Adding type registration java.sql.Date -> org.hibernate.type.DateType@1795327
    [DEBUG] 2014-09-05 17:26:22,499 ==> Adding type registration time -> org.hibernate.type.TimeType@1df59bd
    [DEBUG] 2014-09-05 17:26:22,499 ==> Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1df59bd
    [DEBUG] 2014-09-05 17:26:22,589 ==> Adding type registration timestamp -> org.hibernate.type.TimestampType@121ea24
    [DEBUG] 2014-09-05 17:26:22,589 ==> Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@121ea24
    [DEBUG] 2014-09-05 17:26:22,589 ==> Adding type registration java.util.Date -> org.hibernate.type.TimestampType@121ea24
    [DEBUG] 2014-09-05 17:26:22,589 ==> Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@29a046
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration calendar -> org.hibernate.type.CalendarType@1a9192b
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1a9192b
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1a9192b
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1579371
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration locale -> org.hibernate.type.LocaleType@1f2e41d
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1f2e41d
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration currency -> org.hibernate.type.CurrencyType@127e4be
    [DEBUG] 2014-09-05 17:26:22,609 ==> Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@127e4be
    [DEBUG] 2014-09-05 17:26:22,629 ==> Adding type registration timezone -> org.hibernate.type.TimeZoneType@18bd37a
    [DEBUG] 2014-09-05 17:26:22,629 ==> Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@18bd37a
    [DEBUG] 2014-09-05 17:26:22,629 ==> Adding type registration class -> org.hibernate.type.ClassType@36b1bb
    [DEBUG] 2014-09-05 17:26:22,629 ==> Adding type registration java.lang.Class -> org.hibernate.type.ClassType@36b1bb
    [DEBUG] 2014-09-05 17:26:22,639 ==> Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@1a30706
    [DEBUG] 2014-09-05 17:26:22,639 ==> Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@1a30706
    [DEBUG] 2014-09-05 17:26:22,659 ==> Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1bfd53d
    [DEBUG] 2014-09-05 17:26:22,659 ==> Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@586403
    [DEBUG] 2014-09-05 17:26:22,679 ==> Adding type registration binary -> org.hibernate.type.BinaryType@147ff11
    [DEBUG] 2014-09-05 17:26:22,679 ==> Adding type registration byte[] -> org.hibernate.type.BinaryType@147ff11
    [DEBUG] 2014-09-05 17:26:22,679 ==> Adding type registration [B -> org.hibernate.type.BinaryType@147ff11
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1cd1cea
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1cd1cea
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1cd1cea
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration image -> org.hibernate.type.ImageType@4b7c69
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration characters -> org.hibernate.type.CharArrayType@ca548b
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration char[] -> org.hibernate.type.CharArrayType@ca548b
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration [C -> org.hibernate.type.CharArrayType@ca548b
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@179567c
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@179567c
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@179567c
    [DEBUG] 2014-09-05 17:26:22,689 ==> Adding type registration text -> org.hibernate.type.TextType@37b90c
    [DEBUG] 2014-09-05 17:26:22,729 ==> Adding type registration blob -> org.hibernate.type.BlobType@8d12e4
    [DEBUG] 2014-09-05 17:26:22,729 ==> Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@8d12e4
    [DEBUG] 2014-09-05 17:26:22,729 ==> Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@6fb3d6
    [DEBUG] 2014-09-05 17:26:22,739 ==> Adding type registration clob -> org.hibernate.type.ClobType@4a4e31
    [DEBUG] 2014-09-05 17:26:22,739 ==> Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@4a4e31
    [DEBUG] 2014-09-05 17:26:22,749 ==> Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@1ccbdf7
    [DEBUG] 2014-09-05 17:26:22,749 ==> Adding type registration serializable -> org.hibernate.type.SerializableType@1698cbe
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration object -> org.hibernate.type.ObjectType@d11f32
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@d11f32
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@de24c5
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@402e11
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@1906773
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@177c977
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@14bcb5c
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@1144026
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@7fbad7
    [DEBUG] 2014-09-05 17:26:22,759 ==> Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@1c37b8f
    [INFO] 2014-09-05 17:26:22,989 ==> HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
    [INFO] 2014-09-05 17:26:23,130 ==> HHH000412: Hibernate Core {4.1.8.Final}
    [INFO] 2014-09-05 17:26:23,150 ==> HHH000206: hibernate.properties not found
    [INFO] 2014-09-05 17:26:23,160 ==> HHH000021: Bytecode provider name : javassist
    [DEBUG] 2014-09-05 17:26:23,570 ==> Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
    [DEBUG] 2014-09-05 17:26:23,580 ==> Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
    [DEBUG] 2014-09-05 17:26:23,580 ==> Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
    [DEBUG] 2014-09-05 17:26:23,580 ==> Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
    [DEBUG] 2014-09-05 17:26:23,600 ==> Registering IdentifierGenerator strategy [hilo] -> [org.hibernate.id.TableHiLoGenerator]
    [DEBUG] 2014-09-05 17:26:23,620 ==> Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
    [DEBUG] 2014-09-05 17:26:23,620 ==> Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
    [DEBUG] 2014-09-05 17:26:23,620 ==> Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
    [DEBUG] 2014-09-05 17:26:23,620 ==> Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.SequenceGenerator]
    [DEBUG] 2014-09-05 17:26:23,630 ==> Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
    [DEBUG] 2014-09-05 17:26:23,630 ==> Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
    [DEBUG] 2014-09-05 17:26:23,640 ==> Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
    [DEBUG] 2014-09-05 17:26:23,640 ==> Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
    [DEBUG] 2014-09-05 17:26:23,640 ==> Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
    [DEBUG] 2014-09-05 17:26:23,670 ==> Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
    [INFO] 2014-09-05 17:26:23,680 ==> HHH000043: Configuring from resource: hibernate.cfg.xml
    [INFO] 2014-09-05 17:26:23,680 ==> HHH000040: Configuration resource: hibernate.cfg.xml
    [TRACE] 2014-09-05 17:26:24,131 ==> Resolving XML entity -//Hibernate/Hibernate Configuration DTD 3.0//EN : http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,131 ==> Trying to resolve system-id [http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd]
    [WARN] 2014-09-05 17:26:24,131 ==> HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
    [DEBUG] 2014-09-05 17:26:24,131 ==> Attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,131 ==> Located [http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.dialect=org.hibernate.dialect.OracleDialect
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.connection.driver_class=oracle.jdbc.OracleDriver
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.connection.url=jdbc:oracle:thin:@172.16.4.50:1521:maxdb01
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.connection.username=ADMIN_MPM
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.connection.password=am1np4g05
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.show_sql=true
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.current_session_context_class=thread
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.dialect=org.hibernate.dialect.OracleDialect
    [DEBUG] 2014-09-05 17:26:24,271 ==> hibernate.connection.zeroDateTimeBehavior=convertToNull
    [DEBUG] 2014-09-05 17:26:24,271 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCestados.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,271 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCestados.hbm.xml
    [TRACE] 2014-09-05 17:26:24,371 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,371 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,371 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,371 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,532 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCgruposCobranza.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,532 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCgruposCobranza.hbm.xml
    [TRACE] 2014-09-05 17:26:24,552 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,552 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,552 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,552 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,582 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCmarcasTarjetas.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,582 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCmarcasTarjetas.hbm.xml
    [TRACE] 2014-09-05 17:26:24,622 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,622 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,622 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,622 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,652 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCnotificaciones.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,652 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCnotificaciones.hbm.xml
    [TRACE] 2014-09-05 17:26:24,672 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,672 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,672 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,672 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,682 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCrespuestasCargos.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,682 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCrespuestasCargos.hbm.xml
    [TRACE] 2014-09-05 17:26:24,702 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,702 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,702 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,702 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,712 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCtiposCuentas.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,712 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCtiposCuentas.hbm.xml
    [TRACE] 2014-09-05 17:26:24,732 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,732 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,732 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,732 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,742 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCtiposNotificaciones.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,742 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCtiposNotificaciones.hbm.xml
    [TRACE] 2014-09-05 17:26:24,762 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,762 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,762 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,762 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,772 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmCtiposRespuestas.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,772 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmCtiposRespuestas.hbm.xml
    [TRACE] 2014-09-05 17:26:24,822 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,822 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,822 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,822 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,832 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmTcobranzaSap.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,832 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmTcobranzaSap.hbm.xml
    [TRACE] 2014-09-05 17:26:24,852 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,852 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,852 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,852 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,872 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmTcobranzaSapDeta.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,872 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmTcobranzaSapDeta.hbm.xml
    [TRACE] 2014-09-05 17:26:24,902 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,902 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,902 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,902 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,912 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmTlotesCargoAutomatico.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,912 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmTlotesCargoAutomatico.hbm.xml
    [TRACE] 2014-09-05 17:26:24,932 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:24,932 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:24,932 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:24,932 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [DEBUG] 2014-09-05 17:26:24,942 ==> Session-factory config [null] named resource [com/maxcom/mpm/model/MpmTprocesos.hbm.xml] for mapping
    [INFO] 2014-09-05 17:26:24,942 ==> HHH000221: Reading mappings from resource: com/maxcom/mpm/model/MpmTprocesos.hbm.xml
    [TRACE] 2014-09-05 17:26:25,042 ==> Resolving XML entity -//Hibernate/Hibernate Mapping DTD 3.0//EN : http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd
    [DEBUG] 2014-09-05 17:26:25,042 ==> Trying to resolve system-id [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd]
    [DEBUG] 2014-09-05 17:26:25,042 ==> Recognized hibernate namespace; attempting to resolve on classpath under org/hibernate/
    [DEBUG] 2014-09-05 17:26:25,042 ==> Located [http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd] in classpath
    [INFO] 2014-09-05 17:26:25,042 ==> HHH000041: Configured SessionFactory: null
    [DEBUG] 2014-09-05 17:26:25,042 ==> Properties: {hibernate.connection.password=am1np4g05, java.runtime.name=Java(TM) SE Runtime Environment, sun.boot.library.path=C:\Archivos de programa\Java\jdk1.7.0_65\jre\bin, java.vm.version=24.65-b04, hibernate.connection.username=ADMIN_MPM, java.vm.vendor=Oracle Corporation, java.vendor.url=http://java.oracle.com/, path.separator=;, java.vm.name=Java HotSpot(TM) Client VM, file.encoding.pkg=sun.io, user.script=, user.country=ES, sun.java.launcher=SUN_STANDARD, sun.os.patch.level=Service Pack 3, java.vm.specification.name=Java Virtual Machine Specification, user.dir=C:\Proyectos\CirculoCredito\CargoRecurrenteService, java.runtime.version=1.7.0_65-b19, java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment, hibernate.current_session_context_class=thread, java.endorsed.dirs=C:\Archivos de programa\Java\jdk1.7.0_65\jre\lib\endorsed, os.arch=x86, java.io.tmpdir=C:\DOCUME~1\operador\CONFIG~1\Temp\, line.separator=
